YEAR,COUNTRY,STATE/PROVINCE,SPECIES_CODE,COMMON_NAME,INVASIVE,TOTAL_COUNTED,AVERAGE_COUNTED,LOCATIONS
2000,US,OH,labwoo,Ladder-backed Woodpecker,0,1.0,1.0,1
2000,US,CT,easblu,Eastern Bluebird,0,115.0,3.026315789473684,23
2000,US,VA,houspa,House Sparrow,1,7530.0,7.23342939481268,218
2000,US,VA,labwoo,Ladder-backed Woodpecker,0,1.0,1.0,1
2000,US,OH,whbnut,White-breasted Nuthatch,0,3150.0,1.5509601181683899,418
2000,US,VA,norfli,Northern Flicker,0,319.0,1.3073770491803278,125
2000,US,AL,haiwoo,Hairy Woodpecker,0,39.0,1.0263157894736843,14
2000,US,AL,houspa,House Sparrow,1,1035.0,6.428571428571429,37
2000,US,VA,bewwre,Bewick's Wren,0,3.0,1.0,1
2000,US,VA,bkcchi,Black-capped Chickadee,0,1242.0,2.8551724137931034,117
2000,US,VA,bnhnut,Brown-headed Nuthatch,0,39.0,2.1666666666666665,9
2000,US,VA,borchi2,Boreal Chickadee,0,38.0,3.4545454545454546,4
2000,US,AL,yebsap,Yellow-bellied Sapsucker,0,52.0,1.0612244897959184,26
2000,US,AL,y00326,Oak/Juniper Titmouse (Plain Titmouse),0,5.0,5.0,1
2000,US,VA,brncre,Brown Creeper,0,117.0,1.0833333333333333,47
2000,US,VA,carchi,Carolina Chickadee,0,4368.0,2.4119271120927666,297
2000,US,VA,carwre,Carolina Wren,0,2435.0,1.4331959976456738,375
2000,US,AL,houfin,House Finch,0,3402.0,6.736633663366336,95
2000,US,VA,dowwoo,Downy Woodpecker,0,2864.0,1.5315508021390374,366
2000,US,VA,eursta,European Starling,1,6214.0,7.966666666666667,215
2000,US,VA,haiwoo,Hairy Woodpecker,0,499.0,1.2601010101010102,114
2000,US,VA,houfin,House Finch,0,11905.0,6.0677879714576965,382
2000,US,AL,y00033,Carolina/Black-capped Chickadee,0,25.0,2.5,3
2000,US,AL,whbnut,White-breasted Nuthatch,0,351.0,1.4153225806451613,56
2000,US,AL,tuftit,Tufted Titmouse,0,1554.0,2.6979166666666665,109
2000,US,AL,rehwoo,Red-headed Woodpecker,0,80.0,1.7391304347826086,16
2000,US,AL,rebwoo,Red-bellied Woodpecker,0,474.0,1.257294429708223,87
2000,US,AL,norfli,Northern Flicker,0,56.0,1.1428571428571428,27
2000,US,VA,easblu,Eastern Bluebird,0,674.0,3.5287958115183247,82
2000,US,VA,rebwoo,Red-bellied Woodpecker,0,1781.0,1.177910052910053,314
2000,US,NH,bkcchi,Black-capped Chickadee,0,4426.0,4.322265625,156
2000,US,GA,bkcchi,Black-capped Chickadee,0,192.0,2.742857142857143,22
2000,US,TX,winwre3,Winter Wren,0,4.0,1.0,2
2000,US,TX,whbnut,White-breasted Nuthatch,0,168.0,1.9090909090909092,24
2000,US,TX,tuftit,Tufted Titmouse,0,2008.0,2.2922374429223744,190
2000,US,TX,rehwoo,Red-headed Woodpecker,0,20.0,1.1764705882352942,11
2000,US,TX,rebwoo,Red-bellied Woodpecker,0,554.0,1.228381374722838,121
2000,US,TX,norfli,Northern Flicker,0,133.0,1.2547169811320755,49
2000,US,TX,mouchi,Mountain Chickadee,0,18.0,6.0,1
2000,US,TX,moublu,Mountain Bluebird,0,11.0,2.75,4
2000,US,TX,labwoo,Ladder-backed Woodpecker,0,42.0,1.2727272727272727,18
2000,US,TX,y00033,Carolina/Black-capped Chickadee,0,41.0,2.2777777777777777,7
2000,US,TX,juntit1,Juniper Titmouse,0,49.0,1.8148148148148149,13
2000,US,TX,houspa,House Sparrow,1,19007.0,16.985701519213585,231
2000,US,TX,houfin,House Finch,0,5398.0,6.929396662387677,175
2000,US,TX,haiwoo,Hairy Woodpecker,0,39.0,1.3448275862068966,18
2000,US,VA,rehwoo,Red-headed Woodpecker,0,39.0,1.8571428571428572,15
2000,US,DC,y00033,Carolina/Black-capped Chickadee,0,14.0,1.75,1
2000,US,DC,whbnut,White-breasted Nuthatch,0,17.0,1.0625,5
2000,US,DC,tuftit,Tufted Titmouse,0,65.0,1.9696969696969697,7
2000,US,DC,rebwoo,Red-bellied Woodpecker,0,15.0,1.0,4
2000,US,DC,houspa,House Sparrow,1,243.0,7.838709677419355,7
2000,US,TX,houwre,House Wren,0,10.0,1.1111111111111112,4
2000,US,TX,yebsap,Yellow-bellied Sapsucker,0,78.0,1.21875,35
2000,US,TX,yesfli,Northern Flicker (Yellow-shafted),0,3.0,1.5,1
2000,US,GA,yebsap,Yellow-bellied Sapsucker,0,122.0,1.1730769230769231,50
2000,US,GA,bnhnut,Brown-headed Nuthatch,0,845.0,1.686626746506986,123
2000,US,GA,borchi2,Boreal Chickadee,0,1.0,1.0,1
2000,US,GA,brncre,Brown Creeper,0,32.0,1.0666666666666667,17
2000,US,GA,carchi,Carolina Chickadee,0,3015.0,2.628596338273758,210
2000,US,GA,carwre,Carolina Wren,0,1566.0,1.6177685950413223,203
2000,US,GA,chbchi,Chestnut-backed Chickadee,0,90.0,90.0,1
2000,US,GA,dowwoo,Downy Woodpecker,0,950.0,1.3513513513513513,162
2000,US,GA,easblu,Eastern Bluebird,0,535.0,2.8010471204188483,71
2000,US,GA,eursta,European Starling,1,480.0,3.84,45
2000,US,GA,haiwoo,Hairy Woodpecker,0,92.0,1.1645569620253164,32
2000,US,GA,houfin,House Finch,0,3891.0,4.699275362318841,176
2000,US,GA,houspa,House Sparrow,1,126.0,3.4054054054054053,27
2000,US,GA,houwre,House Wren,0,1.0,1.0,1
2000,US,GA,norfli,Northern Flicker,0,104.0,1.2682926829268293,46
2000,US,GA,rebwoo,Red-bellied Woodpecker,0,1137.0,1.28184892897407,183
2000,US,GA,rehwoo,Red-headed Woodpecker,0,130.0,1.3131313131313131,35
2000,US,GA,tuftit,Tufted Titmouse,0,3493.0,2.8514285714285714,223
2000,US,GA,whbnut,White-breasted Nuthatch,0,549.0,1.3656716417910448,117
2000,US,GA,winwre3,Winter Wren,0,1.0,1.0,1
2000,US,GA,y00033,Carolina/Black-capped Chickadee,0,21.0,1.9090909090909092,6
2000,US,GA,y00326,Oak/Juniper Titmouse (Plain Titmouse),0,21.0,4.2,3
2000,US,DC,haiwoo,Hairy Woodpecker,0,7.0,1.0,2
2000,US,TX,gofwoo,Golden-fronted Woodpecker,0,139.0,1.4479166666666667,19
2000,US,DE,bkcchi,Black-capped Chickadee,0,89.0,2.282051282051282,12
